rainfall_mm	soil_moisture	slope_deg	ground_movement_mm	elevation_m	landslide
65.33	57.34	22.57	11.25	3530.64	0
131.07	45.51	52.1	12.18	4062.3	1
24.84	40.33	17.74	4.98	372.6	0
107.14	44.04	19.06	5.9	1097.69	0
271.79	84.78	36.74	12.58	1333.52	1
114.3	45.99	5.19	7.82	1839.84	0
11.22	32.64	41.38	5.5	2039.83	0
46.39	21.98	23.87	2.75	1295.04	0
54.84	20.26	53.89	9.58	3340.85	0
168.38	49.38	39.57	9.58	1015.3	0
77.57	38.26	7.61	7.42	2955.72	0
19.87	21.72	9.63	9.39	3592.25	0
83.59	46.91	9.41	5.59	2575.16	0
94.91	56.54	52.63	9.01	1552.05	0
60.01	21.49	39.2	5.41	870.35	0
40.59	20.12	26.38	0.83	650.82	0
289.17	66.38	15.02	13.91	3151.12	0
147.91	76.9	48.68	11.51	2023.44	1
156.07	57.99	15.08	2.59	289.91	1
77.68	42.85	40.33	9.36	4133.74	0
52.96	15.57	43.17	8.46	2852.34	0
62.12	33.65	19.73	14.36	3561.15	1
30.25	32.76	30.25	4.33	1896.57	0
221.31	65.66	16.15	15.56	4017.3	1
79.83	50.47	23.95	5.5	918.05	0
191.94	89.97	53.26	7.05	859.06	0
64.28	22.78	39.66	10.95	3750.37	1
115.35	33.11	47.33	11.09	3756.04	1
98.34	31.1	32.03	7.26	2145.98	0
27.63	45.35	16.95	0.0	615.72	0
238.01	84.87	40.64	10.12	1351.39	0
65.66	32.82	30.03	11.25	3192.02	1
35.65	28.28	13.84	9.0	3568.57	1
131.73	39.18	25.62	9.88	1525.38	0
86.49	49.71	36.74	5.56	351.06	0
108.82	39.38	41.77	9.79	2829.48	1
92.39	37.2	17.16	8.12	3131.94	0
12.53	30.06	48.8	4.64	1838.46	0
45.19	27.69	23.98	3.98	2490.7	0
43.84	26.83	18.56	9.77	4148.22	0
154.68	54.16	14.76	7.27	1104.49	0
88.66	49.05	45.21	12.52	2449.21	0
119.76	66.11	22.71	10.43	2604.94	1
68.48	42.09	29.17	5.74	2351.34	1
123.51	56.81	16.14	8.15	3663.43	0
77.8	34.72	39.3	8.13	2580.53	1
73.97	27.78	44.05	9.6	2182.35	0
97.9	49.39	21.97	4.22	604.36	0
92.38	42.38	52.25	11.27	2983.16	1
320.0	73.33	6.53	9.55	641.64	1
44.8	25.92	11.65	3.91	208.94	0
25.03	24.51	34.44	2.68	2102.98	0
107.28	37.48	40.07	12.61	2447.03	0
49.8	48.74	17.53	8.13	4196.12	1
10.99	28.18	32.7	9.38	3020.54	0
37.16	44.65	20.92	8.51	3579.22	0
300.44	89.26	32.7	11.61	1520.19	1
43.89	30.63	37.97	6.39	2186.55	0
18.05	12.73	53.64	11.04	4094.5	0
289.28	83.78	27.78	13.06	1811.29	1
35.99	28.07	37.41	11.48	3409.89	0
320.0	73.99	33.9	16.96	2256.56	0
66.41	28.14	20.88	5.45	1018.24	0
238.6	68.61	17.65	15.64	2479.72	0
72.82	40.98	54.39	5.87	994.05	0
115.79	51.01	15.34	6.37	112.41	0
78.97	30.4	44.51	6.66	1067.17	0
73.2	41.73	12.33	3.21	891.89	0
101.59	40.16	45.22	7.81	1620.78	1
118.5	11.63	14.29	12.41	3743.25	1
96.53	35.42	53.36	7.56	1690.2	0
90.05	52.76	39.3	11.77	3565.27	1
50.12	10.84	9.51	8.65	2378.01	0
81.06	39.18	39.66	3.73	131.22	0
220.67	87.57	35.18	2.17	873.82	0
48.4	21.52	21.88	13.79	3918.24	0
103.54	42.81	18.04	8.04	2577.11	1
180.41	44.04	40.94	12.04	3911.14	1
119.14	65.74	42.07	4.8	1371.49	0
155.7	53.25	21.36	10.26	3037.91	0
35.53	28.38	48.81	7.9	3265.3	0
103.72	59.07	18.44	10.13	4100.37	0
70.33	43.41	8.49	1.32	174.52	0
72.46	25.43	34.99	12.36	4004.17	1
209.41	58.3	10.35	13.87	1705.52	0
73.27	42.06	18.83	11.68	3535.77	0
105.93	35.81	30.36	11.04	2333.32	1
18.07	5.0	19.32	5.43	2415.06	0
238.44	71.82	15.75	10.23	1573.45	1
150.1	35.26	40.16	13.19	3496.74	0
83.15	57.69	32.35	4.3	1182.46	0
68.13	37.11	46.99	6.68	2118.19	0
126.95	37.07	34.06	11.2	2396.72	0
179.07	51.01	29.17	14.39	3144.34	0
240.41	50.22	18.06	11.18	2033.7	1
147.01	39.15	44.6	8.44	2889.16	1
90.88	52.19	14.84	6.67	2089.71	1
161.31	82.27	17.11	7.4	2803.21	1
143.12	60.2	47.08	11.15	2863.99	0
91.12	38.94	42.06	10.41	3008.71	0
140.49	45.72	35.64	11.26	3475.53	1
138.82	39.06	6.95	9.31	2316.96	0
82.82	62.94	11.36	5.56	892.44	0
59.12	30.74	30.0	9.07	2886.53	1
131.26	74.27	42.32	3.03	416.18	0
38.85	45.27	28.21	3.61	997.72	0
32.12	6.18	5.86	9.05	3347.85	0
107.03	35.56	14.21	10.77	1883.79	0
128.99	40.35	34.44	8.27	2141.98	1
106.5	42.47	39.71	13.66	4148.33	0
114.27	44.41	6.67	7.58	1064.21	0
127.59	84.02	7.17	3.8	180.17	0
209.89	53.25	18.07	9.84	556.63	0
148.61	55.44	9.18	9.29	1102.46	0
145.79	59.47	32.1	14.14	3076.27	0
101.63	42.34	11.19	10.89	3280.87	1
104.17	44.24	37.41	14.07	2418.5	0
78.19	24.66	43.86	4.49	1145.69	0
112.07	45.93	53.53	13.79	2239.14	0
37.29	34.34	52.42	4.76	161.33	0
210.49	70.24	18.67	14.97	2895.38	1
46.02	36.97	6.47	6.35	2618.62	0
148.42	69.6	21.47	6.98	189.37	0
194.31	73.99	40.42	16.41	3449.75	1
148.19	53.46	7.99	8.47	3230.05	0
316.84	75.64	22.99	11.36	1363.72	1
13.32	15.73	19.9	2.03	2705.04	0
61.99	31.0	15.97	7.19	2566.12	0
192.31	65.34	40.31	5.89	687.04	0
31.04	21.09	37.95	3.53	892.36	0
47.14	19.14	31.77	14.71	2901.15	0
122.45	32.68	50.54	16.46	3927.56	1
90.12	20.01	10.16	4.77	2462.77	1
117.6	43.05	12.48	9.83	2428.03	0
95.42	23.36	24.17	10.75	2751.39	1
101.39	30.3	37.79	7.05	1906.37	0
50.83	26.45	34.2	3.66	322.11	0
99.23	25.8	8.7	7.26	1725.67	0
65.13	38.89	52.92	8.07	3791.03	1
71.72	44.66	20.25	7.33	3400.28	1
147.14	45.78	22.95	12.94	3902.44	1
29.69	21.29	36.18	3.82	726.61	0
8.39	28.29	52.26	4.81	2174.43	1
140.37	42.31	38.13	8.21	2497.39	1
99.3	32.45	52.74	6.02	960.69	0
194.18	77.08	14.38	9.51	923.98	0
48.14	41.2	35.94	9.05	3306.34	0
81.01	45.04	46.44	12.97	2854.59	1
92.48	51.45	30.45	7.55	2753.47	1
55.63	8.51	23.11	5.28	1194.65	0
43.46	45.81	54.24	6.52	2177.75	0
144.92	56.59	12.05	6.11	194.59	0
27.23	38.12	25.55	1.37	632.78	0
37.91	32.99	48.67	11.35	2224.83	0
79.12	37.99	50.02	2.75	1369.66	1
155.78	50.97	54.02	17.64	4059.25	0
58.39	37.25	49.24	7.45	2033.09	0
52.99	27.92	7.55	4.11	442.61	0
75.87	47.11	51.49	6.97	173.15	0
110.54	25.28	26.41	11.96	3073.56	1
67.7	28.4	37.58	3.13	803.18	0
168.5	81.61	24.71	8.39	870.03	0
172.99	50.54	45.68	13.75	1837.61	1
79.12	34.54	33.8	3.74	1182.65	0
265.93	67.91	47.28	18.25	2627.97	1
91.06	44.06	14.69	8.17	2091.34	1
169.35	48.42	14.25	5.25	556.95	1
108.5	41.64	27.02	8.56	3317.44	1
107.17	53.76	5.24	6.51	1846.02	0
21.85	16.42	39.64	2.94	2604.42	0
35.3	37.23	19.8	1.2	116.16	0
70.27	45.33	32.86	7.84	2668.24	0
172.17	70.54	8.5	5.17	1259.68	0
109.53	45.78	13.53	9.48	2126.92	0
70.74	74.46	36.14	5.33	1320.65	1
129.81	61.21	20.28	11.22	4184.67	0
168.18	60.9	15.74	6.48	1046.45	0
87.18	28.67	16.44	11.56	3842.72	0
100.98	41.05	15.74	11.31	3863.66	0
92.44	57.45	36.14	5.82	1826.1	0
83.42	58.87	13.38	5.89	1346.41	0
47.73	48.24	23.14	5.48	1662.25	0
44.87	39.29	39.39	8.41	4156.29	1
129.28	33.37	30.68	9.14	2637.06	1
170.2	63.29	34.86	11.57	2333.6	1
70.64	20.64	17.55	4.46	247.26	0
69.46	17.43	51.64	10.17	3576.16	1
16.53	26.51	25.69	3.93	443.6	0
13.55	29.26	19.35	0.0	292.59	0
197.94	74.39	50.22	7.07	1226.92	1
50.2	37.01	37.76	6.25	2050.73	0
320.0	96.78	35.7	20.23	3770.68	1
57.21	20.77	49.34	10.2	3339.32	0
22.55	23.7	7.93	2.48	910.29	0
92.95	22.36	46.88	10.64	1625.53	0
143.84	27.6	38.89	11.03	3298.99	0
133.73	58.31	23.0	13.86	2261.08	0
153.08	44.64	17.82	5.28	815.42	0
40.41	39.36	10.24	2.99	1723.83	0
195.01	76.2	52.05	11.64	2666.34	1
202.14	57.04	12.1	13.49	4090.23	1
207.63	72.76	17.97	9.99	2813.43	0
103.34	34.8	39.56	10.13	166.4	0
66.74	12.53	40.51	9.86	2990.53	1
62.44	35.22	13.04	5.67	1128.55	0
22.43	19.28	45.71	8.46	3634.85	1
58.16	27.52	30.51	4.79	1673.95	0
7.64	45.39	47.42	5.97	918.42	0
19.6	6.0	9.36	1.57	2018.58	0
102.63	47.17	7.14	3.02	1146.31	0
72.38	23.99	36.85	4.82	1066.87	0
99.67	52.83	12.5	11.18	2450.37	1
136.86	53.69	31.25	10.37	3246.12	1
112.19	49.23	5.71	11.41	3523.31	1
105.96	31.97	44.0	7.77	1730.45	0
81.65	28.78	49.98	7.39	373.9	0
48.79	41.86	46.94	3.58	2084.3	0
31.26	48.13	52.92	7.98	1878.5	1
59.33	38.82	50.15	4.61	907.61	1
82.6	27.4	27.2	12.83	3774.19	1
89.92	43.85	24.92	9.76	4094.01	0
153.29	82.85	49.81	6.26	312.16	0
77.51	38.28	51.35	10.22	3362.56	0
124.3	64.89	53.64	8.24	2747.44	1
25.44	16.71	43.42	1.75	1171.89	0
103.6	42.29	15.1	7.6	2704.14	0
98.77	49.17	52.25	5.82	627.44	0
195.05	67.68	52.36	5.79	384.57	0
72.43	26.74	38.31	10.89	4173.31	1
70.24	25.74	47.86	4.72	2709.12	1
137.47	62.1	33.06	6.22	1138.21	0
33.38	41.64	52.21	8.78	1945.14	0
101.81	60.54	9.7	12.83	3995.36	1
31.94	48.67	48.2	6.11	1898.77	0
249.74	76.56	7.78	15.06	3791.82	1
63.64	30.27	21.96	8.14	3662.12	0
30.15	42.85	11.77	8.14	1511.04	0
59.01	41.54	28.96	13.16	2953.64	1
102.22	30.7	16.61	9.45	2808.04	0
121.79	34.39	52.6	17.08	3261.97	0
188.73	67.42	32.97	7.75	1600.31	1
53.76	29.7	49.89	0.97	314.17	0
141.49	50.81	18.9	4.55	801.26	0
19.62	37.19	6.3	5.92	2627.87	0
38.13	37.5	43.78	14.19	3277.91	0
26.09	41.7	40.12	7.94	3199.8	0
46.64	7.08	32.27	5.57	2493.09	1
137.43	53.27	45.77	4.0	447.51	0
54.76	40.38	47.0	5.89	170.88	0
62.82	15.5	34.4	11.74	3306.78	0
104.07	35.04	53.3	8.07	2352.44	1
118.47	35.98	40.99	6.98	3309.12	0
64.24	34.39	38.84	2.13	767.43	0
37.91	47.87	23.07	9.35	1770.44	0
224.92	93.75	5.11	15.5	3868.59	0
64.56	24.43	17.05	4.29	803.55	0
69.37	41.58	43.2	8.13	352.26	0
75.83	43.39	40.49	13.27	2779.22	0
126.71	52.53	21.55	9.2	2537.6	0
24.22	30.12	36.28	9.98	4003.33	1
279.09	85.04	14.76	14.2	3816.52	1
67.98	55.21	18.18	8.37	3172.66	0
129.5	61.72	52.37	2.13	178.54	0
30.46	13.98	25.66	2.76	2069.59	0
97.11	50.91	17.25	7.12	3774.02	0
253.0	86.37	29.36	13.7	1877.97	1
231.47	74.7	24.35	11.55	4044.8	1
127.31	61.58	41.48	14.56	2775.2	1
44.19	31.98	53.11	2.42	548.77	0
182.52	62.56	34.59	14.13	2188.02	0
19.48	25.74	34.56	6.95	2952.03	1
42.92	5.22	23.24	0.0	368.01	0
81.97	37.07	33.23	9.23	1513.06	0
21.23	16.65	20.97	10.72	3040.03	0
58.91	18.72	5.05	1.59	743.99	0
143.33	68.74	48.3	7.62	1528.19	0
50.44	37.15	26.47	6.29	2928.63	0
147.68	52.13	29.6	11.23	3279.72	1
320.0	83.62	9.18	13.42	2225.9	1
112.38	48.28	46.86	11.75	4023.12	1
146.05	64.03	13.52	8.28	3893.86	0
186.44	51.09	25.53	8.6	2041.09	0
63.08	33.82	47.01	6.31	757.13	0
143.84	62.06	27.89	10.87	3269.02	1
61.94	10.39	51.56	4.81	1096.87	0
107.18	42.89	15.47	8.63	3555.57	0
157.91	49.59	40.76	9.14	2507.29	1
45.84	28.48	53.9	9.52	1715.78	0
8.56	15.86	32.48	3.78	2381.17	0
42.44	30.99	39.61	8.71	2284.52	0
172.83	81.11	24.66	13.32	3891.4	1
38.25	24.53	42.57	5.02	978.89	0
166.81	60.2	50.44	12.13	3905.45	1
42.61	53.31	40.15	2.25	228.5	0
74.1	29.7	51.8	10.14	3253.73	0
85.98	60.69	34.43	10.11	3870.64	1
38.1	28.45	33.86	6.46	1715.61	0
74.69	57.81	20.23	4.68	399.58	0
22.49	33.95	40.48	13.65	3399.14	0
67.29	38.49	49.1	11.13	3555.75	1
81.12	37.06	37.32	2.21	1478.66	0
9.08	14.51	16.65	8.15	2226.23	0
42.15	30.18	32.21	8.75	3418.82	0
105.0	53.87	42.8	10.4	887.38	1
34.55	27.44	51.97	11.26	2678.8	0
116.74	41.88	12.83	6.36	1865.59	0
124.33	44.34	11.37	7.11	815.1	0
104.7	54.94	25.65	9.47	3508.9	0
142.74	66.1	11.28	7.22	1431.19	0
21.13	16.64	54.02	11.73	3931.15	1
162.42	47.71	26.22	12.53	2432.63	0
38.61	33.05	31.68	8.65	2209.49	0
92.92	58.77	16.35	7.07	1835.55	0
246.86	88.06	27.46	16.31	1742.75	0
66.24	19.55	54.23	9.62	3453.66	0
87.49	36.08	29.43	5.64	2877.75	0
38.8	17.37	5.44	5.04	3272.13	0
245.36	70.77	17.13	13.96	1826.45	1
42.23	48.54	53.92	5.08	1171.89	0
131.43	31.84	54.45	6.41	456.15	0
186.23	41.54	15.52	10.92	3284.29	1
139.59	40.77	35.76	7.49	1802.63	0
109.05	47.44	8.85	6.09	2187.82	0
91.95	47.68	33.87	8.73	2024.31	0
30.19	31.89	11.3	5.06	1867.67	0
238.64	86.61	45.93	14.38	2903.99	1
103.14	21.53	51.98	10.32	2595.81	1
87.53	53.52	13.65	10.26	4085.42	0
36.1	24.2	28.14	0.24	669.51	0
90.5	48.69	10.1	4.52	2451.43	0
83.75	22.54	21.96	10.52	359.28	0
246.86	74.37	8.25	16.95	3412.47	0
87.49	42.08	18.23	11.35	2626.88	0
89.5	53.56	54.51	6.33	1856.35	0
36.48	9.0	7.23	8.39	3389.17	0
49.1	31.17	47.95	5.06	1965.51	0
121.47	33.7	8.87	2.94	1033.92	0
17.44	29.9	31.45	4.5	2037.25	0
161.87	64.94	27.61	8.94	390.41	0
164.64	71.67	51.58	15.32	3781.23	1
45.12	23.51	14.95	6.06	3096.93	0
109.31	55.18	13.98	9.32	3217.29	1
190.04	78.14	42.44	15.33	3685.42	1
79.06	17.67	41.29	8.94	3345.45	0
68.92	42.51	39.96	7.14	1870.6	0
75.16	48.04	6.31	4.59	586.41	0
102.98	39.55	18.0	7.65	1630.8	0
54.13	17.38	46.99	11.45	3929.75	1
64.72	45.55	35.04	9.54	3991.27	0
104.36	28.57	35.11	9.27	3248.27	0
60.86	31.25	19.8	1.9	938.17	0
33.84	26.96	18.01	0.16	897.24	0
15.93	32.09	52.33	9.37	3707.06	1
88.68	31.99	41.39	6.91	681.86	0
182.69	51.98	11.34	7.3	2494.96	1
112.97	46.04	51.89	8.52	1650.83	0
34.96	39.77	34.12	6.63	1338.25	0
48.82	58.19	21.67	3.98	2877.27	1
68.55	16.99	24.86	10.31	4034.23	1
251.72	79.16	41.27	18.02	3288.3	1
260.12	64.19	23.81	13.0	2093.27	1
241.58	85.37	33.94	7.09	1906.92	1
94.96	29.63	40.52	12.98	3821.42	1
320.0	82.3	14.77	12.16	2470.24	1
50.72	24.09	52.21	8.87	2136.22	0
66.73	33.77	22.81	7.02	2899.63	1
154.03	57.76	25.97	7.03	1072.33	0
104.73	48.85	39.93	3.66	361.32	0
108.75	43.86	35.44	11.32	3605.96	0
39.98	12.84	27.01	6.11	2589.77	0
83.32	47.06	37.49	4.58	776.0	0
51.3	30.65	50.14	3.09	1322.0	1
28.36	40.18	45.01	11.73	4158.73	0
56.06	23.84	46.21	8.84	2701.14	0
104.75	23.82	17.92	5.43	2708.06	0
138.29	50.01	25.97	7.58	395.87	0
15.35	38.93	32.69	9.46	4072.87	1
86.06	40.86	7.21	10.71	3760.41	0
80.7	35.36	43.49	9.98	2345.91	0
101.14	31.81	21.17	7.02	1368.49	0
35.51	48.91	19.13	10.35	2962.03	1
36.11	15.59	17.96	8.24	3516.84	0
185.75	52.16	19.17	14.55	3323.1	0
45.59	36.87	21.9	10.67	4105.89	0
64.4	11.9	35.24	9.53	2711.11	0
69.3	50.54	34.18	6.81	1417.02	0
52.05	38.94	17.79	9.26	2141.5	0
119.04	56.98	15.32	12.34	3446.9	1
112.52	51.45	46.32	5.87	1187.9	0
78.2	35.27	9.64	3.38	1048.77	0
54.39	19.21	30.64	8.66	3071.82	0
73.89	34.57	31.03	5.29	1922.15	0
91.09	28.34	33.71	8.2	3447.94	0
48.86	36.58	49.28	0.0	689.1	0
124.85	57.15	36.2	4.07	1476.36	1
161.11	73.17	53.68	12.64	1199.21	0
205.61	69.7	48.57	11.33	2961.26	1
197.89	74.63	15.74	16.45	3213.25	0
68.99	31.61	17.06	7.48	1969.61	0
94.2	34.98	22.24	7.42	2059.92	0
77.15	42.66	24.58	1.02	641.33	0
76.95	32.29	32.65	9.21	2977.5	1
73.52	39.4	16.63	15.25	4168.5	1
87.16	26.44	16.12	13.09	3289.48	0
177.88	48.55	24.07	8.18	1014.76	0
106.87	51.14	38.6	6.92	2654.8	1
34.21	38.17	39.41	2.85	1309.32	0
156.85	42.68	53.81	4.34	223.72	0
100.21	50.09	15.12	7.87	837.27	0
119.93	39.99	24.64	8.75	520.63	0
105.47	43.4	53.23	6.71	903.32	0
108.7	60.92	39.5	10.26	3361.98	0
112.03	54.34	34.61	10.17	1300.61	0
18.78	33.68	31.98	6.02	3203.86	0
118.94	69.07	8.78	11.79	3990.34	0
50.51	22.67	49.67	8.93	2454.52	1
60.73	21.53	36.28	5.21	2090.18	1
86.68	30.41	33.58	8.46	3175.52	1
225.6	66.58	31.98	6.37	498.07	1
39.26	5.0	24.6	8.92	1855.67	0
84.67	36.14	17.73	11.56	2145.18	0
72.25	29.36	42.77	10.64	3507.31	1
155.43	63.6	30.48	11.43	3438.29	1
70.82	39.81	6.7	8.27	3577.89	1
100.98	35.01	24.95	9.57	2961.28	1
39.35	35.74	51.43	6.11	2275.28	1
172.04	66.53	23.69	12.17	3494.31	0
26.28	16.56	25.66	10.07	3680.46	0
117.89	40.02	36.2	7.6	2069.99	0
101.41	15.61	45.08	12.03	4141.21	0
111.42	31.43	38.42	11.21	3686.75	0
26.62	16.95	47.5	6.04	2192.93	1
69.78	36.24	10.7	2.31	384.08	0
150.69	41.81	51.23	9.27	1020.42	0
246.47	68.06	50.2	10.59	3283.23	0
80.34	22.97	30.96	7.86	555.73	0
141.82	53.25	36.24	9.3	2026.18	0
94.94	45.99	15.64	9.77	2579.89	0
83.27	43.15	27.4	12.26	3701.22	0
64.1	34.25	15.14	8.07	3573.17	0
86.98	20.64	6.1	7.28	3233.54	0
133.87	42.01	54.05	6.47	1771.55	0
140.94	46.12	17.96	5.3	683.22	0
31.55	22.1	34.66	9.38	2845.56	0
59.94	34.09	20.01	2.9	843.28	0
37.76	45.41	23.53	8.17	2401.39	0
89.99	49.54	24.89	6.4	4120.78	1
68.01	23.11	21.75	6.61	2356.27	1
108.98	52.12	36.87	12.21	2746.78	0
113.97	52.76	53.05	10.06	2878.06	0
10.49	12.64	26.43	6.61	3504.59	1
86.52	49.22	53.67	6.33	1883.42	1
180.07	57.69	38.39	3.58	2139.79	0
59.96	16.27	35.36	2.3	821.49	0
58.67	38.37	16.86	9.95	2620.19	0
160.99	58.02	8.15	6.07	1312.61	0
145.1	49.19	47.6	8.66	2181.26	0
40.97	28.56	33.7	3.72	3242.88	0
136.18	41.33	25.72	1.3	172.04	1
48.43	37.98	45.6	10.29	2412.05	0
58.22	32.29	20.53	5.45	811.12	0
40.94	31.0	44.18	2.26	1245.47	0
31.34	31.18	21.4	0.92	242.32	0
93.59	26.73	51.04	5.64	794.8	1
27.37	15.29	18.4	7.3	4145.18	0
96.17	14.64	11.88	7.18	4193.94	0
94.14	47.49	39.9	9.6	3051.38	1
77.85	22.58	13.14	9.25	2608.61	0
62.05	35.24	52.47	11.24	3285.73	1
53.42	36.2	37.78	12.26	3775.87	0
36.83	35.33	16.54	2.87	2229.15	0
206.56	50.99	15.44	6.67	244.66	0
75.45	35.82	51.19	9.09	3008.52	0
73.68	56.25	35.39	11.31	4136.87	0
42.53	49.93	49.69	4.66	1158.02	0
193.28	74.37	10.51	8.14	2000.21	0
55.98	36.37	51.27	0.0	1581.23	0
102.36	30.46	31.0	9.79	1700.92	0
115.63	54.06	38.42	11.19	3057.74	1
93.64	38.7	23.64	3.47	1651.46	0
26.79	32.62	7.96	10.33	3958.44	0
132.52	41.56	52.9	10.83	3337.6	1
55.55	30.15	54.73	2.76	213.35	1
144.19	53.69	23.23	9.91	3456.05	0
82.81	41.17	52.19	11.59	3268.72	0
120.22	52.37	13.39	6.52	2217.62	1
185.46	53.85	12.73	7.32	2136.95	1
129.41	32.35	8.66	13.49	3525.66	0
122.11	66.36	24.56	7.46	1841.62	0
136.36	79.87	7.62	5.28	753.8	0
47.12	35.74	24.73	6.59	1382.89	0
148.06	36.68	11.92	5.41	1187.33	0
71.41	26.43	41.53	8.08	2892.34	1
73.08	42.19	46.67	5.83	833.38	1
91.66	56.26	39.39	5.87	2743.57	1
66.76	20.13	15.02	7.05	2010.46	0
39.75	27.25	43.34	8.0	3542.61	0
86.99	41.49	17.48	9.17	2088.49	0
73.33	46.51	42.97	12.43	3912.2	0
71.49	31.6	33.37	11.62	3791.92	0
80.99	19.05	23.34	1.29	859.68	0
11.76	30.04	9.17	6.62	2913.28	1
71.87	49.31	46.38	2.83	979.96	0
199.81	62.97	51.98	13.66	3475.55	1
190.15	66.7	38.3	6.53	2706.46	0
89.07	33.9	53.23	3.28	1305.88	0
87.03	29.0	51.71	8.83	1121.41	0
8.57	34.2	14.73	5.62	1861.27	0
57.96	37.4	41.56	8.98	3382.96	0
135.49	55.69	22.47	9.18	3364.26	1
65.61	52.46	29.38	0.96	236.84	0
165.04	43.65	12.85	8.07	1339.38	0
158.86	48.33	53.74	8.73	1833.69	1
57.12	34.46	41.31	11.37	2500.89	1
93.65	33.83	18.35	4.32	713.06	0
209.57	75.5	23.57	9.41	1474.66	0
26.26	23.53	26.12	6.22	3730.95	0
66.66	22.76	42.38	6.54	2053.84	1
23.89	26.05	51.28	9.07	3150.99	0
44.51	31.84	21.07	5.49	2087.59	1
247.36	85.64	28.63	10.34	2006.43	0
66.65	39.38	34.66	9.05	2649.89	0
15.05	28.84	24.67	7.15	1163.39	0
39.42	32.51	30.21	4.81	1124.19	0
21.6	22.49	10.29	12.13	4156.35	0
96.09	32.54	13.38	11.93	3662.87	0
114.53	48.66	25.06	12.62	3124.8	1
149.31	48.85	50.75	5.48	662.29	0
130.89	69.07	22.47	4.33	223.92	0
27.4	42.13	17.49	2.81	819.19	0
110.78	51.97	42.14	13.41	3944.7	1
78.56	41.83	52.46	12.41	3446.79	1
162.95	54.79	27.96	10.04	2244.61	1
140.43	35.76	5.43	14.22	4072.0	1
267.13	76.18	39.41	8.33	700.99	1
42.01	30.46	25.75	8.93	2392.52	0
37.3	30.96	38.68	6.34	851.21	1
60.63	38.97	18.89	6.69	1356.36	0
80.76	48.82	5.12	10.85	3954.55	0
52.12	23.16	22.22	11.25	3659.94	0
43.79	21.44	40.24	1.67	517.38	0
106.03	60.74	24.66	6.45	1123.13	0
60.49	42.56	15.96	8.15	2537.48	0
50.45	26.41	28.2	0.24	351.55	0
27.35	24.73	42.62	8.0	2355.35	1
9.5	20.86	10.97	3.26	2496.41	0
